,Year,Ridership,city
4,2016,4223.0,Devils Lake
5,2017,4506.0,Devils Lake
6,2018,4217.0,Devils Lake
0,2012,8745.0,Dillon
1,2013,9456.0,Dillon
2,2014,8601.0,Dillon
3,2015,8037.0,Dillon
4,2016,7573.0,Dillon
5,2017,6692.0,Dillon
6,2018,5841.0,Dillon
0,2012,5174.0,Dodge City
1,2013,5149.0,Dodge City
2,2014,5300.0,Dodge City
3,2015,5048.0,Dodge City
4,2016,4895.0,Dodge City
5,2017,5208.0,Dodge City
6,2018,5289.0,Dodge City
0,2012,63896.0,Dover
1,2013,61708.0,Dover
2,2014,55144.0,Dover
3,2015,46834.0,Dover
4,2016,52457.0,Dover
5,2017,59059.0,Dover
6,2018,64053.0,Dover
0,2012,3740.0,Dowagiac
1,2013,4108.0,Dowagiac
2,2014,4401.0,Dowagiac
3,2015,4470.0,Dowagiac
4,2016,4060.0,Dowagiac
5,2017,4572.0,Dowagiac
6,2018,4979.0,Dowagiac
0,2012,65118.0,Downingtown
1,2013,68732.0,Downingtown
2,2014,59206.0,Downingtown
3,2015,61299.0,Downingtown
4,2016,77337.0,Downingtown
5,2017,86806.0,Downingtown
6,2018,81154.0,Downingtown
0,2012,10649.0,Du Quoin
1,2013,11340.0,Du Quoin
2,2014,11259.0,Du Quoin
3,2015,10123.0,Du Quoin
4,2016,8902.0,Du Quoin
5,2017,8665.0,Du Quoin
6,2018,8293.0,Du Quoin
0,2012,5385.0,Dunsmuir
1,2013,5912.0,Dunsmuir
2,2014,5892.0,Dunsmuir
3,2015,6166.0,Dunsmuir
4,2016,5958.0,Dunsmuir
5,2017,5330.0,Dunsmuir
6,2018,4654.0,Dunsmuir
0,2012,12658.0,Durand
1,2013,14002.0,Durand
2,2014,14840.0,Durand
3,2015,13407.0,Durand
4,2016,12469.0,Durand
5,2017,12692.0,Durand
6,2018,13539.0,Durand
0,2012,55721.0,Durham
1,2013,60978.0,Durham
2,2014,58893.0,Durham
3,2015,52898.0,Durham
4,2016,63046.0,Durham
5,2017,58803.0,Durham
6,2018,57772.0,Durham
0,2012,55721.0,Durham
1,2013,60978.0,Durham
2,2014,58893.0,Durham
3,2015,52898.0,Durham
4,2016,63046.0,Durham
5,2017,58803.0,Durham
6,2018,57772.0,Durham
0,2012,10184.0,Dwight
1,2013,10763.0,Dwight
2,2014,10995.0,Dwight
3,2015,10191.0,Dwight
4,2016,9361.0,Dwight
5,2017,10058.0,Dwight
6,2018,9913.0,Dwight
0,2012,2756.0,Dyer
1,2013,2934.0,Dyer
2,2014,3392.0,Dyer
3,2015,3463.0,Dyer
4,2016,3082.0,Dyer
5,2017,3142.0,Dyer
6,2018,3198.0,Dyer
0,2012,14877.0,East Glacier Park
1,2013,14808.0,East Glacier Park
2,2014,11954.0,East Glacier Park
3,2015,12043.0,East Glacier Park
4,2016,13811.0,East Glacier Park
5,2017,14347.0,East Glacier Park
6,2018,14414.0,East Glacier Park
0,2012,66552.0,East Lansing
1,2013,64552.0,East Lansing
2,2014,64982.0,East Lansing
3,2015,64643.0,East Lansing
4,2016,65247.0,East Lansing
5,2017,68216.0,East Lansing
6,2018,68294.0,East Lansing
0,2012,32644.0,Edmonds
1,2013,29036.0,Edmonds
2,2014,29366.0,Edmonds
3,2015,29372.0,Edmonds
4,2016,30438.0,Edmonds
5,2017,30357.0,Edmonds
6,2018,28796.0,Edmonds
0,2012,28190.0,Effingham
1,2013,28980.0,Effingham
2,2014,29049.0,Effingham
3,2015,26961.0,Effingham
4,2016,25991.0,Effingham
5,2017,25574.0,Effingham
6,2018,24131.0,Effingham
0,2012,12206.0,El Paso
1,2013,12932.0,El Paso
2,2014,13144.0,El Paso
3,2015,13806.0,El Paso
4,2016,14440.0,El Paso
5,2017,14761.0,El Paso
6,2018,14134.0,El Paso
0,2012,111.7,Elizabethtown
1,2013,122.7,Elizabethtown
2,2014,108.1,Elizabethtown
3,2015,109.4,Elizabethtown
4,2016,105.5,Elizabethtown
5,2017,100.6,Elizabethtown
6,2018,99.6,Elizabethtown
0,2012,18066.0,Elkhart
1,2013,19993.0,Elkhart
2,2014,21595.0,Elkhart
3,2015,20657.0,Elkhart
4,2016,21197.0,Elkhart
5,2017,22452.0,Elkhart
6,2018,21787.0,Elkhart
0,2012,8278.0,Elko
1,2013,9657.0,Elko
2,2014,9436.0,Elko
3,2015,8050.0,Elko
4,2016,7550.0,Elko
5,2017,7219.0,Elko
6,2018,8656.0,Elko
0,2012,6408.0,Elyria
1,2013,6548.0,Elyria
2,2014,6721.0,Elyria
3,2015,6578.0,Elyria
4,2016,6018.0,Elyria
5,2017,7104.0,Elyria
6,2018,7280.0,Elyria
0,2012,579.9,Emeryville
1,2013,590.6,Emeryville
2,2014,565.4,Emeryville
3,2015,578.0,Emeryville
4,2016,575.9,Emeryville
5,2017,575.2,Emeryville
6,2018,588.0,Emeryville
0,2012,Partial Data,Encinitas
1,2013,Partial Data,Encinitas
2,2014,Partial Data,Encinitas
3,2015,Partial Data,Encinitas
4,2016,Partial Data,Encinitas
5,2017,Partial Data,Encinitas
6,2018,Partial Data,Encinitas
0,2012,3874.0,Ephrata
1,2013,3750.0,Ephrata
2,2014,3576.0,Ephrata
3,2015,3443.0,Ephrata
4,2016,3509.0,Ephrata
5,2017,3742.0,Ephrata
6,2018,3503.0,Ephrata
0,2012,17794.0,Erie
1,2013,18108.0,Erie
2,2014,18311.0,Erie
3,2015,16561.0,Erie
4,2016,16213.0,Erie
5,2017,16766.0,Erie
6,2018,15072.0,Erie
0,2012,3354.0,Essex
1,2013,3869.0,Essex
2,2014,2920.0,Essex
3,2015,2456.0,Essex
4,2016,3025.0,Essex
5,2017,3253.0,Essex
6,2018,3286.0,Essex
0,2012,115.2,Eugene
1,2013,115.8,Eugene
2,2014,99.9,Eugene
3,2015,97.8,Eugene
4,2016,92.2,Eugene
5,2017,92.1,Eugene
6,2018,88.5,Eugene
0,2012,43736.0,Everett
1,2013,42394.0,Everett
2,2014,41434.0,Everett
3,2015,40335.0,Everett
4,2016,41290.0,Everett
5,2017,41525.0,Everett
6,2018,38794.0,Everett
0,2012,91.9,Exeter
1,2013,101.5,Exeter
2,2014,79.9,Exeter
3,2015,65.2,Exeter
4,2016,80.1,Exeter
5,2017,84.2,Exeter
6,2018,88.5,Exeter
0,2012,108.7,Exton
1,2013,112.5,Exton
2,2014,105.4,Exton
3,2015,112.9,Exton
4,2016,133.9,Exton
5,2017,149.7,Exton
6,2018,142.7,Exton
0,2012,Partial Data,Fairfield-Vacaville
1,2013,Partial Data,Fairfield-Vacaville
2,2014,Partial Data,Fairfield-Vacaville
3,2015,Partial Data,Fairfield-Vacaville
4,2016,Partial Data,Fairfield-Vacaville
5,2017,Partial Data,Fairfield-Vacaville
6,2018,Partial Data,Fairfield-Vacaville
0,2012,20304.0,Fargo
1,2013,22497.0,Fargo
2,2014,23314.0,Fargo
3,2015,22829.0,Fargo
4,2016,21495.0,Fargo
5,2017,20232.0,Fargo
6,2018,18695.0,Fargo
0,2012,52516.0,Fayetteville
1,2013,52381.0,Fayetteville
2,2014,53611.0,Fayetteville
3,2015,56639.0,Fayetteville
4,2016,53567.0,Fayetteville
5,2017,49556.0,Fayetteville
6,2018,50528.0,Fayetteville
0,2012,40124.0,Flagstaff
1,2013,39344.0,Flagstaff
2,2014,38373.0,Flagstaff
3,2015,40209.0,Flagstaff
4,2016,40309.0,Flagstaff
5,2017,38977.0,Flagstaff
6,2018,42838.0,Flagstaff
0,2012,37045.0,Flint
1,2013,35216.0,Flint
2,2014,35027.0,Flint
3,2015,31803.0,Flint
4,2016,29272.0,Flint
5,2017,28287.0,Flint
6,2018,27777.0,Flint
0,2012,51561.0,Florence
1,2013,51242.0,Florence
2,2014,49438.0,Florence
3,2015,50033.0,Florence
4,2016,45539.0,Florence
5,2017,42930.0,Florence
6,2018,40187.0,Florence
0,2012,9689.0,Fort Edward-Glens Falls
1,2013,9291.0,Fort Edward-Glens Falls
2,2014,9078.0,Fort Edward-Glens Falls
3,2015,9500.0,Fort Edward-Glens Falls
4,2016,10059.0,Fort Edward-Glens Falls
5,2017,9789.0,Fort Edward-Glens Falls
6,2018,9276.0,Fort Edward-Glens Falls
0,2012,55415.0,Fort Lauderdale
1,2013,52348.0,Fort Lauderdale
2,2014,51199.0,Fort Lauderdale
3,2015,46448.0,Fort Lauderdale
4,2016,42010.0,Fort Lauderdale
5,2017,40613.0,Fort Lauderdale
6,2018,40249.0,Fort Lauderdale
0,2012,7003.0,Fort Madison
1,2013,7246.0,Fort Madison
2,2014,6986.0,Fort Madison
3,2015,6788.0,Fort Madison
4,2016,6611.0,Fort Madison
5,2017,6661.0,Fort Madison
6,2018,5891.0,Fort Madison
0,2012,3343.0,Fort Morgan
1,2013,3196.0,Fort Morgan
2,2014,3551.0,Fort Morgan
3,2015,3705.0,Fort Morgan
4,2016,3539.0,Fort Morgan
5,2017,3448.0,Fort Morgan
6,2018,3445.0,Fort Morgan
0,2012,138.9,Fort Worth
1,2013,126.3,Fort Worth
2,2014,127.1,Fort Worth
3,2015,107.7,Fort Worth
4,2016,102.0,Fort Worth
5,2017,112.2,Fort Worth
6,2018,107.2,Fort Worth
0,2012,2320.0,Framingham
1,2013,2674.0,Framingham
2,2014,2154.0,Framingham
3,2015,1963.0,Framingham
4,2016,1892.0,Framingham
5,2017,1954.0,Framingham
6,2018,1961.0,Framingham
0,2012,7162.0,Fraser
1,2013,7250.0,Fraser
2,2014,6911.0,Fraser
3,2015,8445.0,Fraser
4,2016,9017.0,Fraser
5,2017,8845.0,Fraser
6,2018,10006.0,Fraser
0,2012,50075.0,Fredericksburg
1,2013,53849.0,Fredericksburg
2,2014,55239.0,Fredericksburg
3,2015,55295.0,Fredericksburg
4,2016,56332.0,Fredericksburg
5,2017,61396.0,Fredericksburg
6,2018,60947.0,Fredericksburg
0,2012,Partial Data,Freeport
1,2013,Partial Data,Freeport
2,2014,Partial Data,Freeport
3,2015,Partial Data,Freeport
4,2016,Partial Data,Freeport
5,2017,Partial Data,Freeport
6,2018,Partial Data,Freeport
0,2012,43727.0,Fremont
1,2013,38471.0,Fremont
2,2014,34446.0,Fremont
3,2015,35475.0,Fremont
4,2016,40617.0,Fremont
5,2017,41751.0,Fremont
6,2018,44559.0,Fremont
0,2012,384.4,Fresno
1,2013,387.3,Fresno
2,2014,380.4,Fresno
3,2015,381.6,Fresno
4,2016,362.5,Fresno
5,2017,366.7,Fresno
6,2018,371.6,Fresno
0,2012,255.4,Fullerton
1,2013,264.2,Fullerton
2,2014,266.4,Fullerton
3,2015,281.9,Fullerton
4,2016,293.4,Fullerton
5,2017,289.6,Fullerton
6,2018,280.0,Fullerton
0,2012,4038.0,Fulton
1,2013,4588.0,Fulton
2,2014,3922.0,Fulton
3,2015,4138.0,Fulton
4,2016,3710.0,Fulton
5,2017,3562.0,Fulton
6,2018,3439.0,Fulton
0,2012,8055.0,Gainesville
1,2013,6476.0,Gainesville
2,2014,7178.0,Gainesville
3,2015,7131.0,Gainesville
4,2016,6337.0,Gainesville
5,2017,6328.0,Gainesville
6,2018,6658.0,Gainesville
0,2012,8055.0,Gainesville
1,2013,6476.0,Gainesville
2,2014,7178.0,Gainesville
3,2015,7131.0,Gainesville
4,2016,6337.0,Gainesville
5,2017,6328.0,Gainesville
6,2018,6658.0,Gainesville
0,2012,104.6,Galesburg
1,2013,101.4,Galesburg
2,2014,99.1,Galesburg
3,2015,99.5,Galesburg
4,2016,97.4,Galesburg
5,2017,98.9,Galesburg
6,2018,93.2,Galesburg
0,2012,16197.0,Gallup
1,2013,15355.0,Gallup
2,2014,15918.0,Gallup
3,2015,16170.0,Gallup
4,2016,15561.0,Gallup
5,2017,15481.0,Gallup
6,2018,14597.0,Gallup
0,2012,7887.0,Garden City
1,2013,7355.0,Garden City
2,2014,7870.0,Garden City
3,2015,7972.0,Garden City
4,2016,7378.0,Garden City
5,2017,6966.0,Garden City
6,2018,7056.0,Garden City
0,2012,1565.0,Gastonia
1,2013,1741.0,Gastonia
2,2014,1463.0,Gastonia
3,2015,1508.0,Gastonia
4,2016,1330.0,Gastonia
5,2017,1345.0,Gastonia
6,2018,1251.0,Gastonia
0,2012,2862.0,Gilman
1,2013,3257.0,Gilman
2,2014,3333.0,Gilman
3,2015,3138.0,Gilman
4,2016,2540.0,Gilman
5,2017,2372.0,Gilman
6,2018,2317.0,Gilman
0,2012,5563.0,Glasgow
1,2013,5416.0,Glasgow
2,2014,3967.0,Glasgow
3,2015,4109.0,Glasgow
4,2016,4762.0,Glasgow
5,2017,4945.0,Glasgow
6,2018,5434.0,Glasgow
0,2012,40070.0,Glendale
1,2013,41936.0,Glendale
2,2014,43921.0,Glendale
3,2015,44128.0,Glendale
4,2016,45401.0,Glendale
5,2017,47515.0,Glendale
6,2018,44815.0,Glendale
0,2012,71827.0,Glenview
1,2013,65849.0,Glenview
2,2014,58882.0,Glenview
3,2015,58143.0,Glenview
4,2016,55340.0,Glenview
5,2017,55216.0,Glenview
6,2018,55497.0,Glenview
0,2012,32427.0,Glenwood Springs
1,2013,32154.0,Glenwood Springs
2,2014,33737.0,Glenwood Springs
3,2015,39056.0,Glenwood Springs
4,2016,45798.0,Glenwood Springs
5,2017,44925.0,Glenwood Springs
6,2018,43467.0,Glenwood Springs
0,2012,57.0,Goleta
1,2013,70.3,Goleta
2,2014,74.2,Goleta
3,2015,75.3,Goleta
4,2016,75.9,Goleta
5,2017,77.9,Goleta
6,2018,110.8,Goleta
0,2012,3528.0,Granby
1,2013,3408.0,Granby
2,2014,3347.0,Granby
3,2015,3945.0,Granby
4,2016,4677.0,Granby
5,2017,4950.0,Granby
6,2018,5034.0,Granby
0,2012,20028.0,Grand Forks
1,2013,19141.0,Grand Forks
2,2014,13976.0,Grand Forks
3,2015,12131.0,Grand Forks
4,2016,13882.0,Grand Forks
5,2017,13891.0,Grand Forks
6,2018,13346.0,Grand Forks
0,2012,31570.0,Grand Junction
1,2013,29322.0,Grand Junction
2,2014,29279.0,Grand Junction
3,2015,29509.0,Grand Junction
4,2016,31861.0,Grand Junction
5,2017,30440.0,Grand Junction
6,2018,32146.0,Grand Junction
0,2012,55769.0,Grand Rapids
1,2013,50809.0,Grand Rapids
2,2014,47015.0,Grand Rapids
3,2015,43532.0,Grand Rapids
4,2016,38191.0,Grand Rapids
5,2017,38706.0,Grand Rapids
6,2018,39974.0,Grand Rapids
0,2012,2478.0,Green River
1,2013,2873.0,Green River
2,2014,2770.0,Green River
3,2015,2270.0,Green River
4,2016,2589.0,Green River
5,2017,2235.0,Green River
6,2018,2605.0,Green River
0,2012,Partial Data,Greenfield
1,2013,Partial Data,Greenfield
2,2014,Partial Data,Greenfield
3,2015,Partial Data,Greenfield
4,2016,Partial Data,Greenfield
5,2017,Partial Data,Greenfield
6,2018,Partial Data,Greenfield
0,2012,131.3,Greensboro
1,2013,135.9,Greensboro
2,2014,131.2,Greensboro
3,2015,121.4,Greensboro
4,2016,111.7,Greensboro
5,2017,109.0,Greensboro
6,2018,116.5,Greensboro
0,2012,13395.0,Greensburg
1,2013,14248.0,Greensburg
2,2014,15023.0,Greensburg
3,2015,14773.0,Greensburg
4,2016,13552.0,Greensburg
5,2017,13633.0,Greensburg
6,2018,12643.0,Greensburg
0,2012,12565.0,Greenville
1,2013,12021.0,Greenville
2,2014,12078.0,Greenville
3,2015,11913.0,Greenville
4,2016,11935.0,Greenville
5,2017,14134.0,Greenville
6,2018,12172.0,Greenville
0,2012,15392.0,Greenwood
1,2013,15434.0,Greenwood
2,2014,14840.0,Greenwood
3,2015,15170.0,Greenwood
4,2016,14905.0,Greenwood
5,2017,14306.0,Greenwood
6,2018,13794.0,Greenwood
0,2012,18005.0,Grover Beach
1,2013,19158.0,Grover Beach
2,2014,19523.0,Grover Beach
3,2015,19437.0,Grover Beach
4,2016,18986.0,Grover Beach
5,2017,18878.0,Grover Beach
6,2018,19758.0,Grover Beach
0,2012,11250.0,Guadalupe-Santa Maria
1,2013,11719.0,Guadalupe-Santa Maria
2,2014,12162.0,Guadalupe-Santa Maria
3,2015,12718.0,Guadalupe-Santa Maria
4,2016,12226.0,Guadalupe-Santa Maria
5,2017,12426.0,Guadalupe-Santa Maria
6,2018,13137.0,Guadalupe-Santa Maria
0,2012,N/A,Gulfport
1,2013,N/A,Gulfport
2,2014,N/A,Gulfport
3,2015,N/A,Gulfport
4,2016,N/A,Gulfport
5,2017,N/A,Gulfport
6,2018,N/A,Gulfport
0,2012,N/A,Guthrie
1,2013,N/A,Guthrie
2,2014,N/A,Guthrie
3,2015,N/A,Guthrie
4,2016,N/A,Guthrie
5,2017,N/A,Guthrie
6,2018,N/A,Guthrie
0,2012,4826.0,Hamlet
1,2013,4882.0,Hamlet
2,2014,4744.0,Hamlet
3,2015,4944.0,Hamlet
4,2016,4698.0,Hamlet
5,2017,4376.0,Hamlet
6,2018,4005.0,Hamlet
0,2012,14999.0,Hammond
1,2013,15354.0,Hammond
2,2014,14998.0,Hammond
3,2015,13808.0,Hammond
4,2016,12111.0,Hammond
5,2017,10799.0,Hammond
6,2018,9346.0,Hammond
0,2012,6411.0,Hammond-Whiting
1,2013,7763.0,Hammond-Whiting
2,2014,7701.0,Hammond-Whiting
3,2015,7449.0,Hammond-Whiting
4,2016,5952.0,Hammond-Whiting
5,2017,6326.0,Hammond-Whiting
6,2018,5788.0,Hammond-Whiting
0,2012,207.6,Hanford
1,2013,221.9,Hanford
2,2014,217.2,Hanford
3,2015,211.5,Hanford
4,2016,198.2,Hanford
5,2017,193.3,Hanford
6,2018,187.8,Hanford
0,2012,5483.0,Harpers Ferry
1,2013,6287.0,Harpers Ferry
2,2014,6313.0,Harpers Ferry
3,2015,6314.0,Harpers Ferry
4,2016,7348.0,Harpers Ferry
5,2017,8228.0,Harpers Ferry
6,2018,7612.0,Harpers Ferry
0,2012,561.4,Harrisburg
1,2013,563.9,Harrisburg
2,2014,491.5,Harrisburg
3,2015,503.5,Harrisburg
4,2016,501.0,Harrisburg
5,2017,496.9,Harrisburg
6,2018,507.2,Harrisburg
0,2012,175.4,Hartford
1,2013,183.5,Hartford
2,2014,176.3,Hartford
3,2015,169.4,Hartford
4,2016,136.6,Hartford
5,2017,125.7,Hartford
6,2018,147.5,Hartford
0,2012,5358.0,Hastings
1,2013,5865.0,Hastings
2,2014,5601.0,Hastings
3,2015,5433.0,Hastings
4,2016,5104.0,Hastings
5,2017,5214.0,Hastings
6,2018,5304.0,Hastings
0,2012,12951.0,Hattiesburg
1,2013,13056.0,Hattiesburg
2,2014,11448.0,Hattiesburg
3,2015,9940.0,Hattiesburg
4,2016,9552.0,Hattiesburg
5,2017,8588.0,Hattiesburg
6,2018,8685.0,Hattiesburg
0,2012,41530.0,Haverhill
1,2013,44660.0,Haverhill
2,2014,38481.0,Haverhill
3,2015,34857.0,Haverhill
4,2016,44510.0,Haverhill
5,2017,44827.0,Haverhill
6,2018,42803.0,Haverhill
0,2012,14198.0,Havre
1,2013,13392.0,Havre
2,2014,11343.0,Havre
3,2015,11181.0,Havre
4,2016,11756.0,Havre
5,2017,11570.0,Havre
6,2018,11102.0,Havre
0,2012,35329.0,Hayward
1,2013,35409.0,Hayward
2,2014,35798.0,Hayward
3,2015,40631.0,Hayward
4,2016,47351.0,Hayward
5,2017,50361.0,Hayward
6,2018,57993.0,Hayward
0,2012,1960.0,Hazlehurst
1,2013,1728.0,Hazlehurst
2,2014,1994.0,Hazlehurst
3,2015,1926.0,Hazlehurst
4,2016,1574.0,Hazlehurst
5,2017,1660.0,Hazlehurst
6,2018,1332.0,Hazlehurst
0,2012,2201.0,Helper
1,2013,2245.0,Helper
2,2014,2034.0,Helper
3,2015,2092.0,Helper
4,2016,2145.0,Helper
5,2017,2132.0,Helper
6,2018,2261.0,Helper
0,2012,17876.0,Hermann
1,2013,18480.0,Hermann
2,2014,20348.0,Hermann
3,2015,22041.0,Hermann
4,2016,23984.0,Hermann
5,2017,25439.0,Hermann
6,2018,25890.0,Hermann
0,2012,38358.0,High Point
1,2013,40302.0,High Point
2,2014,38573.0,High Point
3,2015,37224.0,High Point
4,2016,33518.0,High Point
5,2017,30818.0,High Point
6,2018,31048.0,High Point
0,2012,8742.0,Hinton
1,2013,8897.0,Hinton
2,2014,2902.0,Hinton
3,2015,2706.0,Hinton
4,2016,7342.0,Hinton
5,2017,4463.0,Hinton
6,2018,5836.0,Hinton
0,2012,2296.0,Holdrege
1,2013,2335.0,Holdrege
2,2014,2247.0,Holdrege
3,2015,2345.0,Holdrege
4,2016,2237.0,Holdrege
5,2017,2002.0,Holdrege
6,2018,2225.0,Holdrege
0,2012,39038.0,Holland
1,2013,38418.0,Holland
2,2014,38057.0,Holland
3,2015,36378.0,Holland
4,2016,34536.0,Holland
5,2017,36046.0,Holland
6,2018,36288.0,Holland
0,2012,38012.0,Hollywood
1,2013,34032.0,Hollywood
2,2014,32359.0,Hollywood
3,2015,28019.0,Hollywood
4,2016,25739.0,Hollywood
5,2017,24312.0,Hollywood
6,2018,22348.0,Hollywood
0,2012,Partial Data,Holyoke
1,2013,Partial Data,Holyoke
2,2014,Partial Data,Holyoke
3,2015,Partial Data,Holyoke
4,2016,Partial Data,Holyoke
5,2017,Partial Data,Holyoke
6,2018,Partial Data,Holyoke
0,2012,42560.0,Homewood
1,2013,46003.0,Homewood
2,2014,44218.0,Homewood
3,2015,41148.0,Homewood
4,2016,36709.0,Homewood
5,2017,36446.0,Homewood
6,2018,35878.0,Homewood
0,2012,Partial Data,Hope
1,2013,Partial Data,Hope
2,2014,Partial Data,Hope
3,2015,Partial Data,Hope
4,2016,Partial Data,Hope
5,2017,Partial Data,Hope
6,2018,Partial Data,Hope
0,2012,19982.0,Houston
1,2013,21188.0,Houston
2,2014,20258.0,Houston
3,2015,20137.0,Houston
4,2016,19499.0,Houston
5,2017,19400.0,Houston
6,2018,19952.0,Houston
0,2012,164.7,Hudson
1,2013,172.5,Hudson
2,2014,185.6,Hudson
3,2015,194.7,Hudson
4,2016,203.3,Hudson
5,2017,215.0,Hudson
6,2018,219.8,Hudson
0,2012,5837.0,Huntingdon
1,2013,6392.0,Huntingdon
2,2014,6801.0,Huntingdon
3,2015,6616.0,Huntingdon
4,2016,6039.0,Huntingdon
5,2017,5673.0,Huntingdon
6,2018,5766.0,Huntingdon
0,2012,11713.0,Huntington
1,2013,11152.0,Huntington
2,2014,5889.0,Huntington
3,2015,5885.0,Huntington
4,2016,10682.0,Huntington
5,2017,6860.0,Huntington
6,2018,10248.0,Huntington
0,2012,5239.0,Hutchinson
1,2013,5303.0,Hutchinson
2,2014,5312.0,Hutchinson
3,2015,4925.0,Hutchinson
4,2016,4691.0,Hutchinson
5,2017,4294.0,Hutchinson
6,2018,4415.0,Hutchinson
0,2012,9809.0,Independence
1,2013,9725.0,Independence
2,2014,8990.0,Independence
3,2015,8766.0,Independence
4,2016,7973.0,Independence
5,2017,7321.0,Independence
6,2018,6683.0,Independence
0,2012,34114.0,Indianapolis
1,2013,35300.0,Indianapolis
2,2014,32177.0,Indianapolis
3,2015,29581.0,Indianapolis
4,2016,30738.0,Indianapolis
5,2017,31866.0,Indianapolis
6,2018,28804.0,Indianapolis
0,2012,304.8,Irvine
1,2013,317.3,Irvine
2,2014,311.5,Irvine
3,2015,330.1,Irvine
4,2016,354.2,Irvine
5,2017,333.6,Irvine
6,2018,365.4,Irvine
0,2012,388.2,Iselin
1,2013,377.8,Iselin
2,2014,376.6,Iselin
3,2015,362.0,Iselin
4,2016,363.5,Iselin
5,2017,365.2,Iselin
6,2018,364.7,Iselin
0,2012,Partial Data,Jackson
1,2013,Partial Data,Jackson
2,2014,Partial Data,Jackson
3,2015,Partial Data,Jackson
4,2016,Partial Data,Jackson
5,2017,Partial Data,Jackson
6,2018,Partial Data,Jackson
0,2012,Partial Data,Jackson
1,2013,Partial Data,Jackson
2,2014,Partial Data,Jackson
3,2015,Partial Data,Jackson
4,2016,Partial Data,Jackson
5,2017,Partial Data,Jackson
6,2018,Partial Data,Jackson
0,2012,76940.0,Jacksonville
1,2013,93632.0,Jacksonville
2,2014,77553.0,Jacksonville
3,2015,70836.0,Jacksonville
4,2016,70066.0,Jacksonville
5,2017,70049.0,Jacksonville
6,2018,66085.0,Jacksonville
0,2012,49062.0,Jefferson City
1,2013,49125.0,Jefferson City
2,2014,48508.0,Jefferson City
3,2015,43227.0,Jefferson City
4,2016,40193.0,Jefferson City
5,2017,39419.0,Jefferson City
6,2018,38748.0,Jefferson City
0,2012,10086.0,Jesup
1,2013,10692.0,Jesup
2,2014,10636.0,Jesup
3,2015,10280.0,Jesup
4,2016,10076.0,Jesup
5,2017,9648.0,Jesup
6,2018,9461.0,Jesup
0,2012,23436.0,Johnstown
1,2013,23185.0,Johnstown
2,2014,22931.0,Johnstown
3,2015,24039.0,Johnstown
4,2016,21875.0,Johnstown
5,2017,21621.0,Johnstown
6,2018,19407.0,Johnstown
0,2012,62323.0,Joliet
1,2013,69161.0,Joliet
2,2014,69408.0,Joliet
3,2015,63758.0,Joliet
4,2016,57528.0,Joliet
5,2017,60607.0,Joliet
6,2018,60618.0,Joliet
0,2012,122.9,Kalamazoo
1,2013,127.1,Kalamazoo
2,2014,118.7,Kalamazoo
3,2015,116.7,Kalamazoo
4,2016,109.2,Kalamazoo
5,2017,113.3,Kalamazoo
6,2018,120.3,Kalamazoo
0,2012,21892.0,Kankakee
1,2013,23825.0,Kankakee
2,2014,22721.0,Kankakee
3,2015,21635.0,Kankakee
4,2016,20013.0,Kankakee
5,2017,19586.0,Kankakee
6,2018,19109.0,Kankakee
0,2012,18748.0,Kannapolis
1,2013,19205.0,Kannapolis
2,2014,18292.0,Kannapolis
3,2015,18713.0,Kannapolis
4,2016,18345.0,Kannapolis
5,2017,18043.0,Kannapolis
6,2018,18858.0,Kannapolis
0,2012,157.6,Kansas City
1,2013,160.7,Kansas City
2,2014,153.8,Kansas City
3,2015,151.6,Kansas City
4,2016,151.0,Kansas City
5,2017,157.6,Kansas City
6,2018,151.9,Kansas City
0,2012,26560.0,Kelso-Longview
1,2013,28892.0,Kelso-Longview
2,2014,30321.0,Kelso-Longview
3,2015,30851.0,Kelso-Longview
4,2016,31407.0,Kelso-Longview
5,2017,29650.0,Kelso-Longview
6,2018,31011.0,Kelso-Longview
0,2012,16336.0,Kewanee
1,2013,16306.0,Kewanee
2,2014,17005.0,Kewanee
3,2015,15731.0,Kewanee
4,2016,16996.0,Kewanee
5,2017,17841.0,Kewanee
6,2018,17236.0,Kewanee
0,2012,10768.0,Kingman
1,2013,10523.0,Kingman
2,2014,9763.0,Kingman
3,2015,10794.0,Kingman
4,2016,9904.0,Kingman
5,2017,9944.0,Kingman
6,2018,9066.0,Kingman
0,2012,161.2,Kingston
1,2013,150.8,Kingston
2,2014,153.2,Kingston
3,2015,156.4,Kingston
4,2016,159.8,Kingston
5,2017,163.1,Kingston
6,2018,169.5,Kingston
0,2012,14812.0,Kingstree
1,2013,14669.0,Kingstree
2,2014,13684.0,Kingstree
3,2015,13849.0,Kingstree
4,2016,12132.0,Kingstree
5,2017,11187.0,Kingstree
6,2018,10450.0,Kingstree
0,2012,56734.0,Kirkwood
1,2013,58514.0,Kirkwood
2,2014,58013.0,Kirkwood
3,2015,57645.0,Kirkwood
4,2016,54763.0,Kirkwood
5,2017,57518.0,Kirkwood
6,2018,54369.0,Kirkwood
0,2012,48521.0,Kissimmee
1,2013,44906.0,Kissimmee
2,2014,43543.0,Kissimmee
3,2015,41093.0,Kissimmee
4,2016,37366.0,Kissimmee
5,2017,35416.0,Kissimmee
6,2018,34774.0,Kissimmee
0,2012,32499.0,Klamath Falls
1,2013,33456.0,Klamath Falls
2,2014,32197.0,Klamath Falls
