,Year,Ridership,city
1,2013,530.4,Bakersfield
2,2014,509.1,Bakersfield
3,2015,504.6,Bakersfield
4,2016,480.9,Bakersfield
5,2017,472.0,Bakersfield
6,2018,431.4,Bakersfield
0,2012,685.9,Baltimore - BWI Thurgood Marshall Airport
1,2013,690.3,Baltimore - BWI Thurgood Marshall Airport
2,2014,676.3,Baltimore - BWI Thurgood Marshall Airport
3,2015,657.9,Baltimore - BWI Thurgood Marshall Airport
4,2016,679.6,Baltimore - BWI Thurgood Marshall Airport
5,2017,714.7,Baltimore - BWI Thurgood Marshall Airport
6,2018,748.5,Baltimore - BWI Thurgood Marshall Airport
0,2012,1000.9,Baltimore - Penn Station
1,2013,1031.6,Baltimore - Penn Station
2,2014,1005.8,Baltimore - Penn Station
3,2015,968.1,Baltimore - Penn Station
4,2016,1008.1,Baltimore - Penn Station
5,2017,1043.0,Baltimore - Penn Station
6,2018,1026.0,Baltimore - Penn Station
0,2012,3616.0,Bangor
1,2013,3856.0,Bangor
2,2014,4112.0,Bangor
3,2015,3895.0,Bangor
4,2016,3943.0,Bangor
5,2017,4376.0,Bangor
6,2018,4180.0,Bangor
0,2012,3433.0,Barstow
1,2013,3586.0,Barstow
2,2014,3096.0,Barstow
3,2015,3463.0,Barstow
4,2016,3153.0,Barstow
5,2017,3509.0,Barstow
6,2018,3400.0,Barstow
0,2012,49770.0,Battle Creek
1,2013,48321.0,Battle Creek
2,2014,45897.0,Battle Creek
3,2015,42549.0,Battle Creek
4,2016,38266.0,Battle Creek
5,2017,41912.0,Battle Creek
6,2018,41420.0,Battle Creek
0,2012,N/A,Bay St. Louis
1,2013,N/A,Bay St. Louis
2,2014,N/A,Bay St. Louis
3,2015,N/A,Bay St. Louis
4,2016,N/A,Bay St. Louis
5,2017,N/A,Bay St. Louis
6,2018,N/A,Bay St. Louis
0,2012,2724.0,Beaumont
1,2013,3458.0,Beaumont
2,2014,3412.0,Beaumont
3,2015,3265.0,Beaumont
4,2016,3344.0,Beaumont
5,2017,3377.0,Beaumont
6,2018,3641.0,Beaumont
0,2012,62924.0,Bellingham
1,2013,54686.0,Bellingham
2,2014,54359.0,Bellingham
3,2015,51632.0,Bellingham
4,2016,50498.0,Bellingham
5,2017,50771.0,Bellingham
6,2018,49319.0,Bellingham
0,2012,4507.0,Bellows Falls
1,2013,4698.0,Bellows Falls
2,2014,5399.0,Bellows Falls
3,2015,4749.0,Bellows Falls
4,2016,4466.0,Bellows Falls
5,2017,4718.0,Bellows Falls
6,2018,4462.0,Bellows Falls
0,2012,1367.0,Benson
1,2013,1833.0,Benson
2,2014,1961.0,Benson
3,2015,2073.0,Benson
4,2016,2013.0,Benson
5,2017,2036.0,Benson
6,2018,1939.0,Benson
0,2012,151.1,Berkeley
1,2013,152.0,Berkeley
2,2014,132.9,Berkeley
3,2015,136.3,Berkeley
4,2016,149.9,Berkeley
5,2017,155.0,Berkeley
6,2018,171.9,Berkeley
0,2012,23825.0,Berlin
1,2013,25327.0,Berlin
2,2014,23165.0,Berlin
3,2015,20975.0,Berlin
4,2016,16142.0,Berlin
5,2017,13827.0,Berlin
6,2018,15963.0,Berlin
